Image,Bead,X_measured_FWHM,Y_measured_FWHM,Z_measured_FWHM,X_theoretical_FWHM,Y_theoretical_FWHM,Z_theoretical_FWHM,X_ratio,Y_ratio,Z_ratio,X_fit,Y_fit,Z_fit,Lateral_Asymmetry,X_coordinate,Y_coordinate,X_validity,Y_validity,Z_validity
GreenBeads63x.lif-Series005,bead0,,,,,,,,,,0.9979034753108482,0.9928734341005344,0.9862024489008796,,1242,410,outlier (above upper fence of 0.297µm),outlier (above upper fence of 0.308µm),valid
GreenBeads63x.lif-Series005,bead1,,,,,,,,,,0.9977597389073777,0.9941051413121352,0.992185422052619,,1663,982,valid,valid,valid
GreenBeads63x.lif-Series005,bead2,,,,,,,,,,0.9984212193267165,0.9899634842892113,0.9807730374149328,,349,926,valid,valid,valid
GreenBeads63x.lif-Series005,bead3,,,,,,,,,,0.9984761958566603,0.7229585282296918,0.9714612509041823,,187,1091,valid,R2 below R2 Threshold,valid
GreenBeads63x.lif-Series005,bead4,,,,,,,,,,0.9993219956839732,0.9945527255944167,0.99147344610948,,1601,2034,outlier (above upper fence of 0.297µm),valid,valid
GreenBeads63x.lif-Series005,bead5,,,,,,,,,,0.9857305350044478,0.9756293347372126,0.9873749051199137,,1530,1318,outlier (above upper fence of 0.297µm),outlier (above upper fence of 0.308µm),valid
GreenBeads63x.lif-Series005,bead6,,,,,,,,,,0.9985952206331854,0.9937910832830247,0.9851247798156733,,416,487,valid,valid,valid
GreenBeads63x.lif-Series005,bead7,,,,,,,,,,0.9973972159068658,0.9958449412012337,0.9767804229371712,,937,963,valid,valid,valid
GreenBeads63x.lif-Series005,bead8,,,,,,,,,,0.9974952041765424,0.9957578141440022,0.9851761842803947,,1840,825,valid,valid,valid
GreenBeads63x.lif-Series005,bead9,,,,,,,,,,0.9970441113002004,0.9929734687843814,0.9857015808657603,,809,1233,valid,valid,valid
GreenBeads63x.lif-Series005,bead10,,,,,,,,,,0.99814062413574,0.9902892687872716,0.9825579840576687,,922,700,valid,valid,valid
GreenBeads63x.lif-Series005,bead11,,,,,,,,,,0.99820611702544,0.9957407003645636,0.9874287364310285,,834,1423,valid,valid,valid
GreenBeads63x.lif-Series005,bead12,,,,,,,,,,0.9989388674592234,0.9948440628452566,0.9867217496635402,,96,1394,valid,valid,valid
GreenBeads63x.lif-Series005,bead13,,,,,,,,,,0.9979815157015473,0.9947453516205897,0.9886515026369826,,1405,649,valid,valid,valid
GreenBeads63x.lif-Series005,bead14,,,,,,,,,,0.9967054799216696,0.9951111695026015,0.9821636386425038,,699,922,valid,valid,valid
GreenBeads63x.lif-Series005,bead15,,,,,,,,,,0.9972379785430084,0.9924050563716866,0.9761777405812426,,485,660,valid,valid,valid
GreenBeads63x.lif-Series005,bead16,,,,,,,,,,0.997970068933363,0.9941645319826753,0.9910336292138118,,1723,713,valid,valid,valid
GreenBeads63x.lif-Series005,bead17,,,,,,,,,,0.9992201220762784,0.9955885326072708,0.9904814502949058,,239,1372,outlier (above upper fence of 0.297µm),valid,valid
GreenBeads63x.lif-Series005,bead18,,,,,,,,,,0.9981558220380149,0.9962716278409898,0.9891169412972474,,1047,1893,valid,valid,valid
GreenBeads63x.lif-Series005,bead19,,,,,,,,,,0.9971854489691322,0.9933212656233028,0.9885894506353898,,1461,598,valid,valid,valid
GreenBeads63x.lif-Series005,bead20,,,,,,,,,,0.9961703259297068,0.9912565821499844,0.9794463482250562,,1459,363,valid,valid,valid
GreenBeads63x.lif-Series005,bead21,,,,,,,,,,0.996222824090107,0.9946396733019467,0.9842579694576972,,321,1905,valid,valid,valid
